x,kiki-wt
0.09107,0.48485
0.10811,0.43292
0.19248,0.48977
0.19272,0.39768
0.24603,0.40273
0.32024,0.36623
0.3644,0.38946
0.48943,0.31391
0.65847,0.31736
0.65995,0.24991
0.68468,0.24077
0.74859,0.16537
0.75642,0.15757
0.91542,0.02227
